"What is Ichigo's zanpakuto called?",A. Tensa Zangetsu,B. Senbonzakura,C. Hyorinmaru,A
"Who is the captain of the 6th Division?",A. Byakuya Kuchiki,B. Toshiro Hitsugaya,C. Kenpachi Zaraki,A
"What is the name of Ichigo's hollow form?",A. White Ichigo,B. Vasto Lorde,C. Hollow Ichigo,C
"Who is the creator of the Hogyoku?",A. Kisuke Urahara,B. Mayuri Kurotsuchi,C. Sosuke Aizen,A
"What is the ability of Sosuke Aizen's zanpakuto?",A. Illusions,B. Fire,C. Ice,A
"Who becomes the new captain of the 3rd Division after Gin Ichimaru?",A. Izuru Kira,B. Rojuro Otoribashi,C. Shusuke Amagai,B
"Who is the main antagonist of the Soul Society Arc?",A. Sosuke Aizen,B. Gin Ichimaru,C. Byakuya Kuchiki,A
"What is the name of the dimension where Hollows reside?",A. Soul Society,B. Hueco Mundo,C. Karakura Town,B
"Who is the Quincy that becomes Ichigo's ally?",A. Uryu Ishida,B. Ryuken Ishida,C. Soken Ishida,A
"What is the final form of Ichigo's Bankai?",A. Tensa Zangetsu,B. Mugetsu,C. Dangai Ichigo,B
"Who is the captain of the 10th Division?",A. Toshiro Hitsugaya,B. Kenpachi Zaraki,C. Shunsui Kyoraku,A
"What is the name of Rukia's zanpakuto?",A. Sode no Shirayuki,B. Hyorinmaru,C. Wabisuke,A
"Who is the head of the Kuchiki Clan?",A. Byakuya Kuchiki,B. Rukia Kuchiki,C. Ginrei Kuchiki,A
"What is the ability of Byakuya's Bankai?",A. Senbonzakura Kageyoshi,B. Daiguren Hyorinmaru,C. Katen Kyokotsu,A
"Who trains Ichigo to control his hollow powers?",A. Shinji Hirako,B. Kisuke Urahara,C. Yoruichi Shihoin,A
"What is the name of the organization led by Aizen?",A. Espada,B. Visored,C. Arrancar,A
"Who is Ichigo's best friend?",A. Uryu Ishida,B. Renji Abarai,C. Orihime Inoue,C
"What is the name of Orihime's healing ability?",A. Shun Shun Rikka,B. Santen Kesshun,C. Souten Kisshun,C
"Who is the captain of the 11th Division?",A. Kenpachi Zaraki,B. Mayuri Kurotsuchi,C. Jushiro Ukitake,A
"What is the name of the giant spirit creature in the Hollow world?",A. Menos Grande,B. Gillian,C. Vasto Lorde,A
"Who is the lieutenant of the 13th Division?",A. Rukia Kuchiki,B. Izuru Kira,C. Kiyone Kotetsu,C
"What is the primary ability of Toshiro's zanpakuto?",A. Ice manipulation,B. Fire manipulation,C. Water manipulation,A
"Who is the captain of the 8th Division?",A. Shunsui Kyoraku,B. Kensei Muguruma,C. Lisa Yadomaru,A
"What is the ability of Kenpachi Zaraki's zanpakuto?",A. Constant release state,B. Enhanced speed,C. Immense strength,A
"Who rescues Rukia from her execution?",A. Ichigo Kurosaki,B. Renji Abarai,C. Uryu Ishida,A
"What is the name of Ichigo's father?",A. Isshin Kurosaki,B. Ryuuken Ishida,C. Kisuke Urahara,A
"Who is the captain of the 12th Division?",A. Mayuri Kurotsuchi,B. Toshiro Hitsugaya,C. Soifon,A
"What is the name of Soifon's zanpakuto?",A. Suzumebachi,B. Benihime,C. Zabimaru,A
"Who is the head of the Shiba Clan?",A. Ganju Shiba,B. Kaien Shiba,C. Kukaku Shiba,B
"What is the name of Uryu's bow?",A. Ginrei Kojaku,B. Licht Regen,C. Heilig Pfeil,A
"Who is the captain of the 5th Division?",A. Sosuke Aizen,B. Shinji Hirako,C. Momo Hinamori,B
"What is the ability of Urahara's Bankai?",A. Kannonbiraki Benihime Aratame,B. Daiguren Hyorinmaru,C. Hakka no Togame,A
"Who is the captain of the 9th Division?",A. Kensei Muguruma,B. Kaname Tosen,C. Love Aikawa,A
"What is the name of Renji's Bankai?",A. Hihiō Zabimaru,B. Ryujin Jakka,C. Tenken,A
"Who is the lieutenant of the 6th Division?",A. Renji Abarai,B. Momo Hinamori,C. Izuru Kira,A
"What is the ability of Unohana's Bankai?",A. Minazuki,B. Katen Kyokotsu,C. Sakanade,A
"Who is the captain of the 7th Division?",A. Sajin Komamura,B. Kaname Tosen,C. Byakuya Kuchiki,A
"What is the primary ability of Urahara's shikai?",A. Blood manipulation,B. Healing,C. Explosion manipulation,C
"Who is the lieutenant of the 10th Division?",A. Rangiku Matsumoto,B. Nanao Ise,C. Yachiru Kusajishi,A
"What is the name of the dimension between the Human World and Soul Society?",A. Dangai,B. Hueco Mundo,C. Rukongai,A
"Who is the lieutenant of the 1st Division?",A. Chōjirō Sasakibe,B. Isane Kotetsu,C. Marechiyo Omaeda,A
"What is the ability of Yamamoto's Bankai?",A. Zanka no Tachi,B. Katen Kyokotsu,C. Sakanade,A
