"What is the name of Luffy's ship?",A. Going Merry,B. Thousand Sunny,C. Oro Jackson,B
"Who is the swordsman of the Straw Hat Pirates?",A. Sanji,B. Roronoa Zoro,C. Usopp,B
"What is the Devil Fruit that Luffy ate?",A. Mera Mera no Mi,B. Gomu Gomu no Mi,C. Hito Hito no Mi,B
"Who is the captain of the Heart Pirates?",A. Eustass Kid,B. Trafalgar Law,C. Capone Bege,B
"What is the name of the sea where the Grand Line is located?",A. East Blue,B. West Blue,C. South Blue,A
"Who is the main antagonist of the Alabasta Arc?",A. Crocodile,B. Enel,C. Rob Lucci,A
"What is the name of the island where the Straw Hats meet Chopper?",A. Drum Island,B. Skypiea,C. Fishman Island,A
"Who is the pirate king?",A. Gol D. Roger,B. Whitebeard,C. Shanks,A
"What is Nami's role in the Straw Hat Pirates?",A. Swordsman,B. Navigator,C. Cook,B
"Who trains Luffy during the time skip?",A. Rayleigh,B. Garp,C. Ace,A
"What is Zoro's goal?",A. To become the greatest swordsman,B. To find the All Blue,C. To become the pirate king,A
"Who is the cook of the Straw Hat Pirates?",A. Usopp,B. Sanji,C. Franky,B
"What is the name of the kingdom where Vivi is a princess?",A. Dressrosa,B. Alabasta,C. Wano,B
"Who is the shipwright of the Straw Hat Pirates?",A. Usopp,B. Franky,C. Brook,B
"What is Sanji's dream?",A. To become the pirate king,B. To find the All Blue,C. To become the strongest swordsman,B
"Who is Luffy's first mate?",A. Nami,B. Zoro,C. Sanji,B
"What is the name of the treasure that Luffy is searching for?",A. One Piece,B. All Blue,C. Poneglyphs,A
"Who is the archaeologist of the Straw Hat Pirates?",A. Nami,B. Robin,C. Franky,B
"What is the name of the prison where Ace is held?",A. Impel Down,B. Marineford,C. Sabaody Archipelago,A
"Who is the musician of the Straw Hat Pirates?",A. Usopp,B. Franky,C. Brook,C
"Who is the sniper of the Straw Hat Pirates?",A. Sanji,B. Usopp,C. Zoro,B
"What is the name of the ancient weapon that can destroy islands?",A. Pluton,B. Poseidon,C. Uranus,A
"Who is the doctor of the Straw Hat Pirates?",A. Chopper,B. Law,C. Zoro,A
"What is the name of the revolutionary army's leader?",A. Garp,B. Sabo,C. Dragon,C
"Who is the main antagonist of the Dressrosa Arc?",A. Doflamingo,B. Kaido,C. Big Mom,A
"What is the name of Luffy's grandfather?",A. Garp,B. Dragon,C. Rayleigh,A
"Who is the swordsman that trained Zoro?",A. Mihawk,B. Rayleigh,C. Shanks,A
"What is the name of the island where the Straw Hats fight Doflamingo?",A. Dressrosa,B. Alabasta,C. Wano,A
"Who is the shipwright that built the Thousand Sunny?",A. Tom,B. Franky,C. Iceburg,B
"What is the name of the island where Luffy was born?",A. Dawn Island,B. Marineford,C. Sabaody Archipelago,A
"Who is the main antagonist of the Whole Cake Island Arc?",A. Big Mom,B. Kaido,C. Blackbeard,A
"What is the name of the crew that Shanks leads?",A. Red Hair Pirates,B. Whitebeard Pirates,C. Blackbeard Pirates,A
"Who is the first member to join Luffy's crew?",A. Zoro,B. Nami,C. Usopp,A
"What is the name of the island where the Straw Hats meet Brook?",A. Thriller Bark,B. Sabaody Archipelago,C. Dressrosa,A
"Who is the main antagonist of the Fishman Island Arc?",A. Hody Jones,B. Arlong,C. Jinbe,A
"What is the name of the ancient weapon that Shirahoshi can control?",A. Pluton,B. Poseidon,C. Uranus,B
"Who is the navigator of the Straw Hat Pirates?",A. Nami,B. Robin,C. Franky,A
"What is the name of the ship that Franky built?",A. Going Merry,B. Thousand Sunny,C. Oro Jackson,B
"Who is the main antagonist of the Skypiea Arc?",A. Enel,B. Crocodile,C. Rob Lucci,A
"What is the name of the island where the Straw Hats meet Franky?",A. Water 7,B. Dressrosa,C. Alabasta,A
"Who is the helmsman of the Straw Hat Pirates?",A. Jinbe,B. Sanji,C. Usopp,A
"What is the name of the island where the Straw Hats meet Robin?",A. Alabasta,B. Skypiea,C. Dressrosa,A
